city,time,humidity,pressure_mb,temp,wind_dir,wind_speed
Sikkim,2025-05-27T20:43:01.075038,90,1004,20.5,NNW,4.7
Hyderabad,2025-05-27T20:43:00.730403,89,1004,24.2,WNW,15.4
Pune,2025-05-27T20:43:00.397750,94,1004,23.1,WSW,6.5
Patna,2025-05-27T20:43:00.046264,71,999,31.1,ESE,9.2
Dehradun,2025-05-27T20:42:59.691186,62,1001,23.5,NNE,4.5
Kashmir,2025-05-27T20:42:59.355402,21,995,37.3,SSE,12.1
Chennai,2025-05-27T20:42:59.017176,70,1001,30.3,W,19.9
Mumbai,2025-05-27T20:42:58.677949,84,1003,26.3,W,10.3
Delhi,2025-05-27T20:42:58.334256,35,1023,21.1,ESE,12.3
Bangalore,2025-05-27T20:42:57.991252,88,1009,22.1,WSW,15.7
Kolkata,2025-05-27T20:42:57.474383,89,997,29.2,ENE,8.7
Sikkim,2025-05-27T20:13:01.575515,91,1004,20.7,N,4.3
Hyderabad,2025-05-27T20:13:01.233804,94,1004,23.1,W,13.9
Pune,2025-05-27T20:13:00.898001,96,1004,23,WSW,6.9
Patna,2025-05-27T20:13:00.549546,71,999,31.1,ESE,9.4
Dehradun,2025-05-27T20:13:00.043409,58,1001,24.4,NE,4
Kashmir,2025-05-27T20:12:59.698407,21,995,37.3,SSE,12.1
Chennai,2025-05-27T20:12:59.353598,70,1001,30.1,WSW,19.9
Mumbai,2025-05-27T20:12:58.863738,84,1003,26.2,W,12.8
Delhi,2025-05-27T20:12:58.521430,36,1023,21.6,ESE,12.3
Bangalore,2025-05-27T20:12:58.171182,88,1010,22.2,WSW,15.9
Kolkata,2025-05-27T20:12:57.654742,89,997,29.2,ENE,7.4
Sikkim,2025-05-27T19:43:01.147288,91,1004,20.7,N,4.3
Hyderabad,2025-05-27T19:43:00.804974,94,1005,24.1,W,13.9
Pune,2025-05-27T19:43:00.461671,96,1004,23,WSW,6.9
Patna,2025-05-27T19:43:00.146786,71,999,31.4,ESE,9.4
Dehradun,2025-05-27T19:42:59.828208,58,1001,24.4,NE,4
Kashmir,2025-05-27T19:42:59.506812,21,995,37.3,SSE,12.1
Chennai,2025-05-27T19:42:59.184963,75,1001,30,WSW,19.9
Mumbai,2025-05-27T19:42:58.844873,84,1003,26.1,W,12.8
Delhi,2025-05-27T19:42:58.527767,36,1024,21.6,ESE,11.9
Bangalore,2025-05-27T19:42:58.204130,88,1010,22.3,WSW,15.9
Kolkata,2025-05-27T19:42:57.712423,89,997,29.3,ENE,7.4
Sikkim,2025-05-27T19:13:01.185257,91,1004,20.7,N,4.3
Hyderabad,2025-05-27T19:13:00.839984,89,1005,24.2,W,13.9
Pune,2025-05-27T19:13:00.501714,96,1004,23,WSW,6.9
Patna,2025-05-27T19:13:00.165716,71,998,31.3,ESE,9.4
Dehradun,2025-05-27T19:12:59.819409,58,1001,24.4,NE,4
Kashmir,2025-05-27T19:12:59.480289,21,995,37.3,SSE,12.1
Chennai,2025-05-27T19:12:59.133691,75,1001,30.3,WSW,19.9
Mumbai,2025-05-27T19:12:58.795732,84,1003,26.1,W,12.8
Delhi,2025-05-27T19:12:58.466026,38,1024,21.2,ESE,11.9
Bangalore,2025-05-27T19:12:58.002272,88,1010,22.3,WSW,15.9
Kolkata,2025-05-27T19:12:57.497364,89,998,29.4,ENE,7.4
Sikkim,2025-05-27T18:43:01.202641,91,1004,20.7,N,4.3
Hyderabad,2025-05-27T18:43:00.854847,94,1005,24.3,W,13.9
Pune,2025-05-27T18:43:00.513261,96,1004,23,WSW,6.9
Patna,2025-05-27T18:43:00.162030,67,998,32.1,ESE,9.4
Dehradun,2025-05-27T18:42:59.789401,58,1001,24.4,NE,4
Kashmir,2025-05-27T18:42:59.456914,13,995,39.4,WSW,7.6
Chennai,2025-05-27T18:42:59.109501,75,1002,30,WSW,19.9
Mumbai,2025-05-27T18:42:58.749269,84,1003,26.3,W,12.8
Delhi,2025-05-27T18:42:58.415997,38,1024,21,ESE,11.9
Bangalore,2025-05-27T18:42:58.072712,88,1010,22.2,WSW,15.9
